"Scenario","Year","Region","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000","ANZ",NA,NA,NA,3.05535910876803e-06,NA,NA,1.40617077671823e-05
"RCP_MFM_AF0","2010","ANZ",NA,NA,NA,3.06993517318362e-06,NA,NA,8.04096736007249e-06
"RCP_MFM_AF0","2020","ANZ",NA,NA,NA,3.08116682667229e-06,NA,NA,4.37995632772088e-06
"RCP_MFM_AF0","2030","ANZ",NA,NA,NA,3.07591671743551e-06,NA,NA,4.37249316507295e-06
"RCP_MFM_AF0","2040","ANZ",NA,NA,NA,3.08209319728468e-06,NA,NA,4.38127318690242e-06
"RCP_MFM_AF0","2050","ANZ",NA,NA,NA,3.08414482356664e-06,NA,NA,NA
"RCP_MFM_AF0","2060","ANZ",NA,NA,NA,3.07605654874902e-06,NA,NA,NA
"RCP_MFM_AF0","2070","ANZ",NA,NA,NA,3.06565269553614e-06,NA,NA,NA
"RCP_MFM_AF0","2080","ANZ",NA,NA,NA,3.08567624265244e-06,NA,2.15790777915212e-06,7.45388689032568e-06
"RCP_MFM_AF0","2090","ANZ",NA,NA,NA,3.14685189903343e-06,NA,2.24791779942275e-06,7.66880114143951e-06
"RCP_MFM_AF0","2100","ANZ",NA,NA,NA,3.19549878450994e-06,NA,2.26435063295873e-06,7.76131360283158e-06
"RCP_MFM_AF100","2000","ANZ",NA,NA,NA,3.07515666086606e-06,NA,NA,1.41528222261371e-05
"RCP_MFM_AF100","2010","ANZ",NA,NA,NA,3.08999692559855e-06,NA,NA,8.09351436424488e-06
"RCP_MFM_AF100","2020","ANZ",NA,NA,NA,3.10156139642953e-06,NA,NA,NA
"RCP_MFM_AF100","2030","ANZ",NA,NA,NA,3.0964716470183e-06,NA,NA,NA
"RCP_MFM_AF100","2040","ANZ",NA,NA,NA,3.1026790075998e-06,NA,NA,NA
"RCP_MFM_AF100","2050","ANZ",NA,NA,NA,3.10477283678543e-06,NA,NA,NA
"RCP_MFM_AF100","2060","ANZ",NA,NA,NA,3.09677847304409e-06,NA,NA,NA
"RCP_MFM_AF100","2070","ANZ",NA,NA,NA,3.0863624925405e-06,NA,NA,NA
"RCP_MFM_AF100","2080","ANZ",NA,NA,NA,3.10675961321113e-06,NA,NA,NA
"RCP_MFM_AF100","2090","ANZ",NA,NA,NA,3.16883887818192e-06,NA,NA,NA
"RCP_MFM_AF100","2100","ANZ",NA,NA,NA,3.21867784563315e-06,NA,NA,NA
"RCP_MFM_AF25","2000","ANZ",NA,NA,NA,3.05532687847737e-06,NA,NA,1.40615594334145e-05
"RCP_MFM_AF25","2010","ANZ",NA,NA,NA,3.06990302307643e-06,NA,NA,8.0408831504889e-06
"RCP_MFM_AF25","2020","ANZ",NA,NA,NA,3.08113371057302e-06,NA,NA,4.37990925235084e-06
"RCP_MFM_AF25","2030","ANZ",NA,NA,NA,3.07588352167633e-06,NA,NA,4.37244597646434e-06
"RCP_MFM_AF25","2040","ANZ",NA,NA,NA,3.08205478415021e-06,NA,NA,NA
"RCP_MFM_AF25","2050","ANZ",NA,NA,NA,3.0841787872423e-06,NA,NA,NA
"RCP_MFM_AF25","2060","ANZ",NA,NA,NA,3.07599264725761e-06,NA,NA,NA
"RCP_MFM_AF25","2070","ANZ",NA,NA,NA,3.06563208175778e-06,NA,NA,NA
"RCP_MFM_AF25","2080","ANZ",NA,NA,NA,3.08570631138522e-06,NA,NA,NA
"RCP_MFM_AF25","2090","ANZ",NA,NA,NA,3.14675962214833e-06,NA,NA,NA
"RCP_MFM_AF25","2100","ANZ",NA,NA,NA,3.19540606843718e-06,NA,NA,NA
"RCP_MFM_AF50","2000","ANZ",NA,NA,NA,3.05524307678442e-06,NA,NA,1.40611737521003e-05
"RCP_MFM_AF50","2010","ANZ",NA,NA,NA,3.06981803044914e-06,NA,NA,8.04066053245194e-06
"RCP_MFM_AF50","2020","ANZ",NA,NA,NA,3.0810477916182e-06,NA,NA,4.37978711639034e-06
"RCP_MFM_AF50","2030","ANZ",NA,NA,NA,3.07579731936156e-06,NA,NA,4.37232343770053e-06
"RCP_MFM_AF50","2040","ANZ",NA,NA,NA,3.08197457713904e-06,NA,NA,4.3811045653747e-06
"RCP_MFM_AF50","2050","ANZ",NA,NA,NA,3.08410710762958e-06,NA,NA,4.38413601123321e-06
"RCP_MFM_AF50","2060","ANZ",NA,NA,NA,3.07600949983361e-06,NA,NA,NA
"RCP_MFM_AF50","2070","ANZ",NA,NA,NA,3.06565127143187e-06,NA,NA,NA
"RCP_MFM_AF50","2080","ANZ",NA,NA,NA,3.08568011927228e-06,NA,NA,NA
"RCP_MFM_AF50","2090","ANZ",NA,NA,NA,3.14671743484046e-06,NA,NA,NA
"RCP_MFM_AF50","2100","ANZ",NA,NA,NA,3.19535446784452e-06,NA,NA,NA
"RCP_MFM_AF75","2000","ANZ",NA,NA,NA,3.05391406979776e-06,NA,NA,1.40550572508309e-05
"RCP_MFM_AF75","2010","ANZ",NA,NA,NA,3.06844273633838e-06,NA,NA,8.03705827558615e-06
"RCP_MFM_AF75","2020","ANZ",NA,NA,NA,3.07967493969249e-06,NA,NA,4.37783557276504e-06
"RCP_MFM_AF75","2030","ANZ",NA,NA,NA,3.07442050226557e-06,NA,NA,4.37036625748571e-06
"RCP_MFM_AF75","2040","ANZ",NA,NA,NA,3.08059140833902e-06,NA,NA,4.37913835605246e-06
"RCP_MFM_AF75","2050","ANZ",NA,NA,NA,3.08263836946667e-06,NA,NA,NA
"RCP_MFM_AF75","2060","ANZ",NA,NA,NA,3.07455860039278e-06,NA,NA,NA
