"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.00144440329179173,0.000334998910561114,0.00196629919475447,"AFMfree","2100"
"RCP2.6_SFM",0.00138370084096098,0.000722042091724183,0.00199147670164303,"AFMfree","2100"
"REF_MFM",0.000868289941482066,-6.7255979269425e-05,0.00117966887784686,"AFMfree","2100"
"REF_SFM",0.000901882503449423,-0.000218390046555959,0.00118315683623839,"AFMfree","2100"
"RCP2.6_MFM",0.00145058568633353,0.000302272275344682,0.00196767055048416,"AFM25","2100"
"RCP2.6_SFM",0.00162905766952997,0.00032701037313292,0.00219584548944989,"AFM25","2100"
"REF_MFM",0.000875492761022695,-9.8483874001274e-05,0.0011779303822266,"AFM25","2100"
"REF_SFM",0.000979790865499686,-8.50111027817144e-05,0.00131207946819906,"AFM25","2100"
"RCP2.6_MFM",0.00149371220902986,0.000315811157360964,0.00201491610241395,"AFM50","2100"
"RCP2.6_SFM",0.0019557909480411,0.000383598908188185,0.00260967940191778,"AFM50","2100"
"REF_MFM",0.000918803292157911,-0.000132616261224753,0.00122096248340827,"AFM50","2100"
"REF_SFM",0.00113511337729972,-1.23090488010254e-06,0.0015335423263759,"AFM50","2100"
"RCP2.6_MFM",0.00159438047273548,0.000298083900714013,0.00212987742762943,"AFM75","2100"
"RCP2.6_SFM",0.00274063457410909,5.34850865231186e-05,0.00350167890924158,"AFM75","2100"
"REF_MFM",0.0009472451908128,-0.000132608102622835,0.00125590694073915,"AFM75","2100"
"REF_SFM",0.00163700988011193,-0.000288467999781302,0.00208925782173664,"AFM75","2100"
"RCP2.6_MFM",0.00170490246137844,0.00029299307357277,0.00226039742632424,"AFM100","2100"
"RCP2.6_SFM",0.00311425788605059,0.000292629168071158,0.00400584395970462,"AFM100","2100"
"REF_MFM",0.00106598980364699,-0.000214381144030961,0.00139158835005433,"AFM100","2100"
"REF_SFM",0.00212302103693673,-0.000417302867063842,0.00265932065636838,"AFM100","2100"
