"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0808871094875092,0.0485601561426667,0.120105397101221,"noAFM","2100"
"RCP2.6_SFM",0.0808727418014819,0.048553011872485,0.120086673509658,"noAFM","2100"
"REF_MFM",0.040623726945479,0.0172153242503745,0.0621566809911636,"noAFM","2100"
"REF_SFM",0.0406484482878406,0.0172339996745733,0.0621906003629626,"noAFM","2100"
"RCP2.6_MFM",0.0747686728052926,0.0419837829252089,0.109860531375561,"AFMfree","2100"
"RCP2.6_SFM",0.0747091543509843,0.0420625381525146,0.109834583642306,"AFMfree","2100"
"REF_MFM",0.0370987351166812,0.0133249216762674,0.0561753596067558,"AFMfree","2100"
"REF_SFM",0.0379133731823948,0.0147227680893847,0.0577291086577171,"AFMfree","2100"
"RCP2.6_MFM",0.0734305043116844,0.0411655397727273,0.107512816487627,"AFM25","2100"
"RCP2.6_SFM",0.0733241255938026,0.0427779354186943,0.107173047234311,"AFM25","2100"
"REF_MFM",0.0375865646525408,0.0130599565327687,0.0575273270027489,"AFM25","2100"
"REF_SFM",0.038517800012488,0.0154571932483081,0.0592939727469714,"AFM25","2100"
"RCP2.6_MFM",0.0714900250535598,0.0400229407159366,0.104225601143589,"AFM50","2100"
"RCP2.6_SFM",0.0715822537392041,0.0432867044835123,0.103930682448904,"AFM50","2100"
"REF_MFM",0.0370562350043114,0.0122178472363343,0.0568771961052566,"AFM50","2100"
"REF_SFM",0.0365500158220382,0.0155870484173437,0.05579357713821,"AFM50","2100"
"RCP2.6_MFM",0.070191149239948,0.0393871306667599,0.101826256141172,"AFM75","2100"
"RCP2.6_SFM",0.0690529007716409,0.0434252468683099,0.0995510983835018,"AFM75","2100"
"REF_MFM",0.0354252312293535,0.0112001076825077,0.0541348486859501,"AFM75","2100"
"REF_SFM",0.0342830039000174,0.0156671069644586,0.0516316592854492,"AFM75","2100"
"RCP2.6_MFM",0.068551847690919,0.0386386891014111,0.0987931903895601,"AFM100","2100"
"RCP2.6_SFM",0.0668686310377832,0.043927052728085,0.0954694158919398,"AFM100","2100"
"REF_MFM",0.0340309470435587,0.0105321457042066,0.0515783161567141,"AFM100","2100"
"REF_SFM",0.0312024429180619,0.0161345445503687,0.046049313593141,"AFM100","2100"
